npy_path,file_path,label,condition
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F000_gauss_20.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,neutral,gauss_20
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F000_gauss_10.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,neutral,gauss_10
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F000_gauss_5.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,neutral,gauss_5
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F000_room_03.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,neutral,room_03
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F000_room_06.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,neutral,room_06
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F004_gauss_20.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,neutral,gauss_20
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F004_gauss_10.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,neutral,gauss_10
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F004_gauss_5.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,neutral,gauss_5
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F004_room_03.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,neutral,room_03
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F004_room_06.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,neutral,room_06
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F006_gauss_20.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,angry,gauss_20
D:\Users\User\Desktop\demokritos-DeepLearning-project\workflows\iemocap_dl\spectrograms\train_augmented\Ses01F_script02_1_F006_gauss_10.npy,/workspace/datasets/iemocap/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,angry,gauss_10
